42,ANDERSON,SILVA,1,3,167,25,373.png,15,4,3,1,14,15,2,0,0
99,ANDRE,LIMA,4,84,185,25,369.png,15,10,5,9,5,11,1,1,0
39,JADSON,DOS SANTOS,3,65,171,25,341.png,15,5,10,2,15,13,1,2,1
2,LEONARDO,MORAIS,1,62,171,25,157.png,15,1,1,1,15,8,3,0,0
10,MARCOS,GUILHERME,3,62,172,25,139.png,15,8,3,6,8,7,1,0,0
11,MAYCON,DA CRUZ,3,73,174,25,268.png,15,7,4,5,7,10,2,0,0
7,OTÁVIO,SANTOS,3,73,176,25,119.png,15,6,9,4,17,6,3,0,0
13,PAULO,ANDRE,1,81,189,25,372.png,15,2,1,2,11,9,5,1,0
44,THIAGO,HELENO,1,95,185,25,371.png,15,3,1,1,12,10,3,0,1
18,WALTER,DA SILVA,4,88,178,25,343.png,15,9,2,7,9,7,1,1,0
12,WEVERTON,DA SILVA,2,89,189,25,3.png,15,0,0,0,0,3,0,1,0
